x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
RGMB,7.0266,7.1269,7.2724,7.0195,6.2534,6.2088,8.0192,6.9433,6.852,6.3427,4.3923,4.3923,5.528,5.341,4.3923,0.075930927,4.729076814,2496,467,1481.5,3
RGS10,11.1541,11.0147,11.1341,11.7164,11.633,11.6039,11.7963,11.3453,11.2209,9.7886,8.2815,7.8258,5.5973,7.2685,4.3923,0.009322789,38.72237304,1033,5,519,4
RGS16,6.3083,6.1938,5.9382,10.6115,11.1,10.8405,10.6472,9.8595,7.8955,11.7606,10.6282,10.9601,11.4359,12.0832,11.2683,0.133736624,2.98419629,2794,1096,1945,2
RGS20,7.0634,6.4575,6.6253,4.9891,4.7399,5.3929,5.7835,6.4509,5.5704,6.9642,7.1326,6.0424,5.0853,5.0291,5.3398,0.050454201,3.151701029,2250,988,1619,8
RGS8,4.4599,4.3923,4.5847,4.3923,4.3923,4.3923,4.3923,4.3923,4.7953,5.0999,6.6884,4.5481,7.9548,7.5444,8.2705,0.018226726,11.09204139,1505,92,798.5,1
RHBDF2,7.3508,7.342,7.3177,6.3787,7.7552,7.5277,7.3054,8.3127,7.218,7.586,5.7225,7.3506,8.0128,8.7629,8.3361,0.188275582,2.049628939,2916,2419,2667.5,7
RHOBTB2,8.3695,8.2132,8.2421,7.2316,7.1094,6.9276,7.3969,7.7018,7.4565,6.6666,6.664,6.4237,6.0729,6.1935,6.0781,0.002672257,2.623917347,302,1406,854,3
RHOC,5.5656,5.3457,5.3691,6.7537,4.4439,7.5545,7.7575,8.4004,8.9518,9.3515,9.8213,9.7792,10.1965,9.8623,10.0288,0.021468888,3.006260722,1612,1077,1344.5,2
RHOQ,6.6336,6.7296,6.8473,6.9052,7.4612,4.3923,8.4648,8.5289,8.7579,9.083,9.422,9.2348,9.7248,9.6175,10.1154,0.011583516,2.294440534,1223,1861,1542,1
RHOU,4.9853,5.0734,5.0655,4.3923,4.3923,4.8006,4.7484,4.3923,4.433,4.848,4.6022,4.8945,6.3622,6.0708,5.4432,0.02015579,2.857907815,1565,1196,1380.5,1
RHOX5,4.985,4.7891,4.7563,4.3923,4.3923,5.2994,5.905,4.3923,5.8319,6.2392,7.0937,6.2289,8.3976,7.1937,6.5745,0.115193147,2.598085388,2741,1436,2088.5,1
RIBC1,6.512,6.5442,6.472,6.267,6.755,6.7894,6.4986,6.9635,6.4928,5.8175,4.3923,6.348,7.0122,7.6168,6.6575,0.133951058,2.312193484,2796,1833,2314.5,7
RIC8B,7.7712,7.4179,7.6492,6.5141,6.8679,6.6342,7.4034,7.2552,6.9781,7.1589,6.9616,6.6946,6.0211,6.1307,6.4626,0.024975128,2.021450791,1744,2509,2126.5,8
